Hrapx,Hrapy,Lat,Lon,Globvalue
272.3333,670.25,48.4113,-112.8352,0.0875
1546.5,195.1667,18.0057,-65.804,0.0892
262.25,674.25,48.6163,-113.4784,0.0908
252.5,674.6667,48.5379,-114.0702,0.0933
302.1667,671.4167,48.5843,-111.0188,0.0942
305.75,670.0833,48.612,-110.7939,0.095
327.5833,668.8333,48.6286,-109.4629,0.095
238.9167,677,48.6068,-114.9123,0.095
270.0833,673.4167,48.4489,-112.9705,0.0958
254.5,676,48.6548,-113.965,0.0958
1516.75,195.1667,18.5721,-66.5401,0.0958
293.25,669.8333,48.3734,-111.5245,0.0958
1580.75,207.5833,17.6398,-64.7246,0.0958
283.25,671.8333,48.5765,-112.1932,0.0975
264.0833,671.75,48.4407,-113.3159,0.0983
407.1667,670.5833,48.2286,-104.5863,0.0992
279.5833,673.5833,48.5675,-112.402,0.1
279.3333,675.75,48.6139,-112.4357,0.1
337.9167,669.3333,48.4434,-108.827,0.1
363.5833,664.6667,48.3104,-107.2529,0.1008
292.9167,671.4167,48.4967,-111.5762,0.1008
270.5833,672,48.6618,-112.9589,0.1017
1548.8333,207.25,18.2464,-65.5043,0.1017
247.75,678.5833,48.7428,-114.3986,0.1025
256.9167,674.9167,48.5188,-113.779,0.1025
347.6667,665.75,48.3049,-108.222,0.1033
346.0833,663.4167,48.3501,-108.3195,0.1042
228.4167,679.6667,48.6956,-115.575,0.1042
364.4167,665.8333,48.4519,-107.2011,0.105
1578.9167,207.5833,17.6752,-64.7686,0.105
277.6667,671,48.5096,-112.524,0.105
1526.9167,202.0833,18.5434,-66.1488,0.1058
367.9167,672.0833,48.4151,-106.9957,0.1058
267.6667,678.1667,48.7171,-113.1614,0.1067
263.8333,672.8333,48.4799,-113.3403,0.1067
284.25,676.0833,48.5001,-112.1144,0.1067
286.9167,674.6667,48.6321,-111.9672,0.1067
247.75,676.1667,48.4586,-114.3365,0.1067
326.5,668.4167,48.4705,-109.5351,0.1075
300.3333,666.3333,48.4019,-111.0946,0.1075
320.5833,670.25,48.6508,-109.8952,0.1075
284.1667,671.5,48.4883,-112.1043,0.1075
359,667.9167,48.8323,-107.557,0.1075
271,671.3333,48.623,-112.9262,0.1075
330,665.8333,48.4469,-109.3029,0.1083
818.8333,604.6667,42.5242,-82.3062,0.1092
241.6667,679.5,48.7143,-114.772,0.1092
1546.25,206.3333,18.2748,-65.586,0.1092
309.3333,668.9167,48.3774,-110.5493,0.11
286.25,674.3333,48.6207,-112.0084,0.11
327.25,670.9167,48.618,-109.4976,0.11
273.8333,674,48.527,-112.7477,0.11
295.3333,672.4167,48.5329,-111.4423,0.11
307.1667,673.8333,48.7814,-110.7543,0.1108
321.6667,669.4167,48.5298,-109.8247,0.1108
279.6667,677.1667,48.667,-112.4248,0.1108
253.0833,677.6667,48.5873,-114.036,0.1108
269.25,678.0833,48.6529,-113.0624,0.1117
337.9167,667.6667,48.5892,-108.8336,0.1117
295.1667,670.25,48.4555,-111.4373,0.1117
398.25,666.9167,48.4054,-105.1558,0.1117
331.5,671,48.7923,-109.256,0.1117
316.5833,669.5833,48.5356,-110.1323,0.1117
443.5,254.25,33.1382,-103.1552,0.1125
291.0833,670.5,48.4772,-111.6865,0.1125
276.1667,676.8333,48.5789,-112.6311,0.1133
313.1667,672.8333,48.4827,-110.3438,0.1133
339.4167,660.9167,48.4282,-108.7302,0.1133
314.3333,671.0833,48.574,-110.2779,0.1142
363.75,666.6667,48.4914,-107.244,0.1142
426.5,665.25,48.326,-103.4189,0.1142
297.0833,672.5,48.5478,-111.3386,0.1142
340.1667,664.1667,48.5113,-108.6771,0.1142
315.4167,673.1667,48.5409,-110.2089,0.115
460.3333,641.3333,47.3142,-101.4215,0.115
306.4167,673.0833,48.4311,-110.7551,0.115
238.1667,679.75,48.7046,-114.9824,0.115
254.8333,676.5,48.7764,-113.9575,0.115
293.1667,673.0833,48.7103,-111.6019,0.1158
428.4167,666.4167,48.2876,-103.3003,0.1158
556.5,343.9167,35.5421,-97.9102,0.1158
308.4167,670.5,48.6712,-110.6605,0.1158
290.1667,672.3333,48.6695,-111.7772,0.1158
266.1667,675.5833,48.5818,-113.2292,0.1158
292.25,677.75,48.6595,-111.6686,0.1167
238.25,677.9167,48.544,-114.9297,0.1167
306.8333,673.25,48.5708,-110.7508,0.1167
236.6667,676.0833,48.6454,-115.0434,0.1167
277.3333,672.25,48.4382,-112.5288,0.1175
251.25,679.75,48.6264,-114.1635,0.1183
294.5,671.1667,48.5246,-111.486,0.1183
265.0833,679,48.7077,-113.3258,0.1183
331.3333,667.5,48.3941,-109.2142,0.1183
322.9167,668.75,48.5497,-109.7527,0.1192
293,671.4167,48.4864,-111.5763,0.12
381.1667,665.6667,48.2761,-106.1651,0.12
251.0833,679.25,48.6352,-114.1692,0.12
1564.5,203,17.8406,-65.2098,0.1208
292.3333,674.75,48.6903,-111.6399,0.1208
1534.5833,201.75,18.3901,-65.9655,0.1208
302,671.8333,48.6094,-111.0352,0.1208
240.5,681,48.7603,-114.8586,0.1217
238.3333,679,48.6762,-114.9668,0.1217
372.0833,664,48.3379,-106.7166,0.1225
395.6667,667.5,48.3164,-105.2904,0.1225
344.3333,665.8333,48.3872,-108.4204,0.1225
